[15:51:01] src/nnvm/legacy_json_util.cc:190: Loading symbol saved by previous version v0.8.0. Attempting to upgrade...
[15:51:01] src/nnvm/legacy_json_util.cc:198: Symbol successfully upgraded!
note: caffe model don't have 'flatten0', but 'flatten_0'
note: don't have flatten_0, but flatten
[15:51:01] src/io/iter_image_recordio.cc:220: ImageRecordIOParser: ../../data/ism-train_train.rec, use 4 threads for decoding..
[15:51:03] src/io/iter_image_recordio.cc:220: ImageRecordIOParser: ../../data/ism-train_val.rec, use 4 threads for decoding..
2017-07-21 15:54:43,187 Epoch[9] Batch [30]	Speed: 105.57 samples/sec	Train-accuracy=0.945833
2017-07-21 15:54:47,733 Epoch[9] Batch [40]	Speed: 105.59 samples/sec	Train-accuracy=0.933333
2017-07-21 15:54:50,006 Epoch[9] Train-accuracy=0.954167
2017-07-21 15:54:50,006 Epoch[9] Time cost=20.620
2017-07-21 15:54:50,383 Saved checkpoint to "../../models/pretrained-models/inception-bn/Inception-BN-train-224-lr-0.01-momentum-0.9-0010.params"
2017-07-21 15:54:50,817 Epoch[9] Validation-accuracy=0.909722
2017-07-21 15:54:55,533 Epoch[10] Batch [10]	Speed: 105.86 samples/sec	Train-accuracy=0.945076
2017-07-21 15:55:00,078 Epoch[10] Batch [20]	Speed: 105.60 samples/sec	Train-accuracy=0.947917
2017-07-21 15:55:04,627 Epoch[10] Batch [30]	Speed: 105.54 samples/sec	Train-accuracy=0.941667
2017-07-21 15:55:09,168 Epoch[10] Batch [40]	Speed: 105.71 samples/sec	Train-accuracy=0.939583
2017-07-21 15:55:10,982 Epoch[10] Train-accuracy=0.916667
2017-07-21 15:55:10,982 Epoch[10] Time cost=20.165
2017-07-21 15:55:11,370 Saved checkpoint to "../../models/pretrained-models/inception-bn/Inception-BN-train-224-lr-0.01-momentum-0.9-0011.params"
2017-07-21 15:55:11,696 Epoch[10] Validation-accuracy=0.927083
2017-07-21 15:55:16,425 Epoch[11] Batch [10]	Speed: 105.81 samples/sec	Train-accuracy=0.948864
2017-07-21 15:55:20,967 Epoch[11] Batch [20]	Speed: 105.71 samples/sec	Train-accuracy=0.943750
2017-07-21 15:55:25,512 Epoch[11] Batch [30]	Speed: 105.61 samples/sec	Train-accuracy=0.937500
2017-07-21 15:55:30,060 Epoch[11] Batch [40]	Speed: 105.55 samples/sec	Train-accuracy=0.964583
2017-07-21 15:55:31,879 Epoch[11] Train-accuracy=0.932292
2017-07-21 15:55:31,879 Epoch[11] Time cost=20.183
2017-07-21 15:55:32,261 Saved checkpoint to "../../models/pretrained-models/inception-bn/Inception-BN-train-224-lr-0.01-momentum-0.9-0012.params"
2017-07-21 15:55:32,716 Epoch[11] Validation-accuracy=0.895833
2017-07-21 15:55:37,607 Epoch[12] Batch [10]	Speed: 105.79 samples/sec	Train-accuracy=0.939394
2017-07-21 15:55:42,147 Epoch[12] Batch [20]	Speed: 105.73 samples/sec	Train-accuracy=0.952083
2017-07-21 15:55:46,699 Epoch[12] Batch [30]	Speed: 105.44 samples/sec	Train-accuracy=0.952083
2017-07-21 15:55:51,241 Epoch[12] Batch [40]	Speed: 105.69 samples/sec	Train-accuracy=0.958333
2017-07-21 15:55:53,514 Epoch[12] Train-accuracy=0.929167
2017-07-21 15:55:53,514 Epoch[12] Time cost=20.798
2017-07-21 15:55:53,888 Saved checkpoint to "../../models/pretrained-models/inception-bn/Inception-BN-train-224-lr-0.01-momentum-0.9-0013.params"
2017-07-21 15:55:54,214 Epoch[12] Validation-accuracy=0.927083
2017-07-21 15:55:58,953 Epoch[13] Batch [10]	Speed: 105.47 samples/sec	Train-accuracy=0.945076
2017-07-21 15:56:03,499 Epoch[13] Batch [20]	Speed: 105.60 samples/sec	Train-accuracy=0.950000
2017-07-21 15:56:08,041 Epoch[13] Batch [30]	Speed: 105.68 samples/sec	Train-accuracy=0.945833
